Title,Link,Image,Description,Comments,Game Mode,Game Language,Game Genre,Max Players,Single Player
 Colin McRae Rally 04 играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/5183-colin-mcrae-rally-04-po-seti-i-internetu.html,/uploads/posts/2022-07/thumbs/1658245110_imgonline-com-ua-resize-1qse4mugxuglv.jpg,"""Colin McRae Rally 04"" позволит игрокам управлять автомобилем на грани фола, порадует новыми чемпионатами, новыми одно- и многопользовательскими режимами, также игра содержит уникальную технологию тестирования частей авто, позволяющую выиграть новейшую технологию для своей машины.",0,Lan (Radmin VPN)/Online (OpenSpy).,Русский.,"Симуляторы, Гонки.",8.,Информация об одиночной игре не указана
 Force of Nature 2 Ghost Keeper играть по сети и интернету ЛАН,https://freetp.org/po-seti/5180-force-of-nature-2-ghost-keeper-igrat-po-seti-i-internetu-lan.html,/uploads/posts/2022-07/thumbs/1658069140_header-1.jpg,"Force of Nature 2 Ghost Keeper – игровой проект, разработанный в жанре экшен-РПГ, где нам предстоит выживать в загадочном и непредсказуемом мире.  Способ по которому можно поиграть: Radmin VPN",31,"Force of Nature 2 Ghost Keeper – игровой проект, разработанный в жанре экшен-РПГ, где нам предстоит выживать в загадочном и непредсказуемом мире. Способ Игры",Eng/Rus.,RPG.,*.,Информация об одиночной игре не указана
 Nuclear Throne играть по сети и интернету ЛАН,https://freetp.org/po-seti/2141-nuclear-throne-igra-po-seti-besplatno-onlayn-lan.html,/uploads/posts/2016-09/thumbs/1474308837_nuclear-throne.png,"Nuclear Throne - очень динамичная, сложная, напряженная и в то же время очень продуманная в плане дизайна и геймплея экшен игра, теперь с возможностью совместной игры и прохождением^^.",12,LAN.,Английский текст.,"Экшены, Инди, Ролевые игры, Совместное Прохождение.",4,Информация об одиночной игре не указана
 Hellpoint: Blue Sun играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/4371-hellpoint-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-08/thumbs/1596784512_hellpoint.jpg,"Захватывающий и весьма динамичный игровой процесс - это и есть Hellpoint по сети или онлайн. Отличная проработка графики, события происходят где-то в Черных Дырах, на её орбиту, где долгое время находится космическая станция человечества. Сюжетная линия повествует игроку о происхождении некого катаклизма, повлекшего появление в мире самых разных существ из других измерений и миров. Следует объединить силы со своими друзьями, чтобы отбить напавшее на землю зло.",38,Steam / Локальная Сеть.,"Русский, Английский","Экшены, Приключенческие игры, Инди, Ролевые игры, Совместное прохождение","2 - кооп, 4 - мультиплеер.",Информация об одиночной игре не указана
 Warcarft 3 Reforged играть по сети и интернету онлайн,https://freetp.org/po-seti/5176-warcarft-3-reforged-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2022-07/thumbs/1657516006_w6jnqfgo2ge.jpg,"Warcraft III: Reforged — компьютерная игра в жанре стратегии в реальном времени, разработанная Blizzard Entertainment и Lemon Sky Studios и выпущенная Blizzard Entertainment в 2020 году. Warcraft III: Reforged представляет собой обновлённую версию Warcraft III: Reign of Chaos и дополнения к ней The Frozen Throne.  Способ по которому можно поиграть: Radmin vpn.",14,"По сети - Radmin vpn, По интернету - zclient (разрабатывается)",Русский/English.,Стратегия.,20.,Информация об одиночной игре не указана
 Mercenary Kings играть по сети и интернету Онлайн,https://freetp.org/po-seti/1137-mercenary-kings-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2014-04/thumbs/1396334850_mercenarykings-multiplayer-online.jpg,"В игре вам придется отточить свои навыки по борьбе с полчищами CLAW, Проходите миссии, улучшайте оружие и зовите друзей на подмогу, ведь в войне все средства хороши!)",1,Стим (приглашения).,Английский текст.,"Экшены, Приключенческие игры, Инди, Ролевые игры, Совместное прохождение.",Максимальное количество игроков не указано,Информация об одиночной игре не указана
 The Elder Scrolls V: Skyrim играть по Сети и Интернету ЛАН,https://freetp.org/po-seti/50-skyrim-nastroyka-kooperativnoy-igry-v-multiplayer.html,/uploads/posts/2020-05/thumbs/1589301301_the-elder-scrolls-v-skyrim.jpg,"Легендарный игровой мир The Elder Scrolls V: Skyrim доступен онлайн по сети и интернету прямо сейчас. Игра является действительно лучшим РПГ в своем жанре от первого и третьего лица, к тому же есть возможность переключаться между этими режимами в настоящем времени. С момента релиза и по сей день игровой мир завоевал сердца тысяч фанатов, которые жаждут прохождения не только сюжетной линии в одиночку, но и ожидают кооператива. Пройдитесь по бескрайним просторам Skyrim вместе с друзьями уже сегодня!",237,Способ игры не указан,Полностью русский.,"Ролевые игры, Совместное прохождение.",Максимальное количество игроков не указано,Присутствует.
 Executive Assault 2 играть по сети и интернету Онлайн,https://freetp.org/po-seti/4875-executive-assault-2-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-08/thumbs/1628789150_header-152.jpg,"Executive Assault 2 – космический экшен, где ты отправишься на покорение масштабного пространства, постепенно истребляя сторонников вражеской силы.Способ по которому можно поиграть: Steam.",17,Steam.,Английский.,"Стратегия, Экшн",4 + ~15 саппортов в каждой команде,Информация об одиночной игре не указана
 Squish играть по сети и интернету Онлайн,https://freetp.org/po-seti/5174-squish-po-seti-i-internetu.html,/uploads/posts/2022-07/thumbs/1657091912_squish.jpg,"Страшная, битком набитая, динамичная игра для вечеринок, в которой вы и до трех друзей из лучших побуждений сражаетесь в подземном склепе, пока он рушится на вас. Вы должны толкать блоки, уворачиваться и прыгать, чтобы пережить рейв и утопить своих противников. Последний игрок забирает все!",0,Интернет (по коду комнаты) ИЛИ На одном ПК (Split Screen)..,Английский текст.,"Экшены, Инди, Ролевые игры, Совместное прохождение.",4.,Информация об одиночной игре не указана
 Mists Of Noyah играть по сети и интернету Онлайн / ЛАН,https://freetp.org/reviews/5150-mists-of-noyah-po-seti-i-internetu-lan.html,/uploads/posts/2022-07/thumbs/1657048682_mists-of-noyah-multiplayer.jpg,"Охота днем, погоня ночью! Mists of Noyah — это кооперативная игра на выживание с множеством элементов RPG. Сражайтесь с фракциями, которые развиваются день ото дня, и со странными монстрами, которые будут терроризировать вас ночью! Укрепляйте свою базу, спасая выживших со всего мира.",2,Steam (по коду) / LAN (RadminVPN по IP).,Английский текст.,"Экшены, Инди, Ролевые игры, Совместное прохождение.",2.,Информация об одиночной игре не указана
 Battle Cry of Freedom играть по сети и интернету ОНЛАЙН,https://freetp.org/po-seti/5173-battle-cry-of-freedom-igra-besplatno-online-v-multipleer.html,/uploads/posts/2022-07/thumbs/1656780579_battle-cry-of-freedom.jpg,"Battle Cry of Freedom погружает игроков в жестокие бои от первого и третьего лица на полях Америки середины 19-го века, где у них есть шанс изменить или повторить историю Гражданской войны в США.",7,Интернет (Лиц. Сервера).,Русский текст.,"Экшены, Инди, Многопользовательские игры, Ролевые игры, Симуляторы.",255.,Информация об одиночной игре не указана
 Cuphead играть по сети и интернету ОНЛАЙН,https://freetp.org/po-seti/4736-cuphead-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-04/thumbs/1618769857_cuphead.jpg,"Cuphead - рисованный платформер в стиле графики 30х годов прошлого века. Если вы готовы закликать свою клавиатуру или джойстик до смерти, то эта игра для вас! Игра потребует от вас очень большой отдачи и внимательности и тем самым затянет в игру по самые уши!",57,Steam Remote Play / Parsec.,Русский Текст.,"Экшены, Приключенческие игры, Казуальные игры, Инди, Совместное Прохождение, Сплит Скрин.",2.,возможна
 Tallowmere 2: Curse of the Kittens играть по сети и интернету ОНЛАЙН,https://freetp.org/po-seti/5170-tallowmere-2-cotk-igra-besplatno-online-v-multipleer.html,/uploads/posts/2022-06/thumbs/1656494589_tallowmere-2-curse-of-the-kittens.jpg,"Котята леди Тэллоумир ведут себя странно. Тем не менее, ритуалы подземелья должны быть выполнены. Сколько комнат вы сможете очистить, несмотря на необычные обстоятельства?",0,Интернет (Лиц. Сервера).,Русский текст.,"Инди, Экшены.",?,Информация об одиночной игре не указана
 Call of Duty: Modern Warfare Remastered по сети и Интернету (H1-Mod),https://freetp.org/po-seti/5147-call-of-duty-modern-warfare-remastered-po-seti-i-internetu-h1-mod.html,/uploads/posts/2022-06/thumbs/1656140420_call-of-duty-modern-warfare-remastered.jpg,"Игра Call of Duty: Modern Warfare, удостоенная множества хвалебных отзывов от игроков и критиков, возвращается с поддержкой высоких разрешений, улучшенными текстурами, передовой физической моделью, расширенным динамическим диапазоном освещения и другими современными технологиями для нового поколения.Способ по которому можно поиграть: Lan (Radmin VPN)/Online (H1-Mod)",9,Lan (Radmin VPN)/Online (H1-Mod),Русский,"Экшены, Шутеры, От первого лица.",16,Информация об одиночной игре не указана
 Colin McRae: DiRT играть по сети и интернету ЛАН,https://freetp.org/po-seti/5144-colin-mcrae-dirt-po-lokalnoy-seti.html,/uploads/posts/2022-05/thumbs/1653811348_51obxf486ml.jpg,"Принципиально новое продолжение самой известной раллийной серии. Вас ждет наисовременнейший графический движок, полностью переработанная физическая модель, множество автомобилей и трасс, созданных на основе реальных дорог и местностей по всему миру.",1,Локальная Сеть (Radmin VPN),Русский.,"аркада, гонки, Симуляторы.",8.,Информация об одиночной игре не указана
 Brothers in Arms Hells Highway играть по сети и интернету Онлайн / LAN,https://freetp.org/po-seti/5166-brothers-in-arms-hells-highway-po-seti-i-internetu.html,/uploads/posts/2022-06/thumbs/1655922786_56c4948388a7e300458b4714.jpg,Вторая Мировая Война. Сто первая Воздушно-Десантная Дивизия снова в бою в тылу врага…Вы вновь встретитесь со знакомыми по предыдущим играм серии Brothers in Arms персонажами: сержантами Мэтом Бейкером и Джо Хартстоком.Способ по которому можно поиграть: Lan (Radmin VPN) / Online (OpenSpy),0,Lan (Radmin VPN)/Online (OpenSpy).,Русский.,"Экшены, Шутеры, От первого лица.",20.,Информация об одиночной игре не указана
 Dorfs: Hammers for Hire играть по сети и интернету Онлайн,https://freetp.org/po-seti/5167-dorfs-hammers-for-hire-igra-po-seti-i-internetu-lan.html,/uploads/posts/2022-06/thumbs/1655991504_dorfs-hammers-for-hire.jpg,"Совместный крафт-платформер, в котором ваши друзья окажутся хуже любого врага. Создавайте оружие и доспехи в своей гномьей мастерской, помогите армии своего покровителя выиграть битву и проложите свой путь к Железной горе!",2,Steam (По приглашению).,Английский.,"Экшены, Казуальные игры, Инди, Совместное прохождение.",4.,Доступна.
 Streets of Rage 4 играть по сети и интернету ЛАН,https://freetp.org/po-seti/4265-streets-of-rage-4-igra-besplatno-online-v-multipleer.html,/uploads/posts/2020-05/thumbs/1588584233_street-of-rage-4.jpg,"Ролевой игровой проект от известных всем разработчиков мировых файтингом Street of Rage 4 по сети или интернету доступен прямо сейчас. Помимо классических баталий и сражений, в игру включена даже сюжетная линия, которая проходится с необыкновенным видом - сбоку. Ваш герой и лично Вы с друзьями станете настоящими искателями приключений, получите возможность одолеть могущественных, и не очень, оппонентов и, конечно же, сразить боссов. Самое время оторваться от привычных и распиаренных игр в пользу Street of Rage 4 онлайн в кооперативе.",16,Локальная Сеть (Эмулятор ЛАН).,Русский текст.,"Экшены, Инди, Совместное прохождение.",2.,Информация об одиночной игре не указана
 Per Aspera играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/5149-per-aspera-po-seti-i-internetu-lan.html,/uploads/posts/2022-05/thumbs/1654014725_per-aspera.jpg,"Per Aspera — стратегическая игра о терраформировании Марса. Разгадывайте тайны планеты, добывайте природные ресурсы и узнайте, что стало с теми, кто пытался поселиться на этой земле. Ваша задача победить всех врагов, чтобы человечество могло исследовать новые области и продолжить свое существование.",12,Steam / LAN (RadminVPN).,Русский текст.,"Инди, Симуляторы, Стратегии.",*.,Информация об одиночной игре не указана
 The Jackbox Party Pack 8 играть по сети и интернету Онлайн,https://freetp.org/po-seti/4932-the-jackbox-party-pack-8-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-10/thumbs/1634220039_the-jackbox-party-pack-8.jpeg,"The Jackbox Party Pack 8 – последняя часть знаменитой игры для вечеринок, в которой можно весело провести время! Всё это вместе с друзьями, куда же без них? ;)",67,Интернет (по коду приглашения).,Английский.,"Казуальные игры, Инди.",8.,Информация об одиночной игре не указана
 Truck and Logistics Simulator играть по сети и интернету Онлайн,https://freetp.org/po-seti/5158-truck-and-logistics-simulator-po-seti-besplatno-onlayn.html,/uploads/posts/2022-06/thumbs/1655043768_screenshot.truck-and-logistics-simulator.jpg,"Truck & Logistics Simulator — это игра-симулятор транспортного средства, в которой перед вами стоит задача выполнить логистику от начала до конца в одиночном или многопользовательском режиме. Возьмите под свой контроль более 20 уникальных транспортных средств, чтобы выполнять сложные задачи по погрузке и доставлять различные товары непосредственно вашим клиентам.",3,Интернет.,Русский Текст.,"Казуальные игры, Симуляторы, Стратегии, совместное прохождение.",20.,Доступна.
 Spacelines from the Far Out играть по сети и интернету Онлайн,https://freetp.org/po-seti/5157-spacelines-from-the-far-out-igra-po-seti.html,/uploads/posts/2022-06/thumbs/1654805404_spacelines.jpg,"Spacelines from the Far Out — это кооперативная управленческая игра в стиле Rojelic об авиакомпаниях в космосе, с разблокируемыми космическими кораблями, улучшениями, персонажами и настройками, случайно генерируемыми квестами, путешествиями и маршрутами, с щедрой дозой космической эры 60-х. и джаз!",11,Интернет (Подключение по коду).,Русский Текст.,"Экшены, Приключенческие игры, Казуальные игры, Инди, Симуляторы, Стратегии, Совместное прохождение.",?,Присутствует.
 KeepUp Hunter играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/5156-keepup-hunter-po-seti-i-internetu-lan.html,/uploads/posts/2022-06/thumbs/1654794942_keepup_hunter.jpg,"Зомби-апокалипсис, основанный на волнах: мир был захвачен хищной волной зомби, и каждый борется за собственное выживание. Меньшие группы также объединились, чтобы остановить зомби. Ты один из них?",1,Steam / LAN (RadminVPN).,Английский текст.,"Экшены, Приключенческие игры, Инди, Зомби, Стратегии, Совместное прохождение.",2-3.,Информация об одиночной игре не указана
 Scrap Mechanic играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/2027-scrap-mechanic-igra-po-seti-besplatno-onlayn-lan-.html,/uploads/posts/2016-02/thumbs/1454698172_scrap-mechanic.jpg,"Scrap Mechanic - мультиплеерная песочница, в которой основа создания лежит на машинах, ограничивающиеся только вашей фантазией и возможностью инструментов ^^",220,Steam / Локальная Сеть(ЛАН).,Английский.,"Экшены, Приключенческие игры, Инди, Симуляторы, Ранний доступ.","Более 300, не хватило храбрости проверить дальше ))",Информация об одиночной игре не указана
 Subnautica: Below Zero по сети и интернету LAN,https://freetp.org/po-seti/5153-subnautica-below-zero-po-seti-i-internetu-lan.html,/uploads/posts/2022-06/thumbs/1654598485_subnautica_below_zero.jpg,"Subnautica: Below Zero — это отдельное расширение Subnautica, которое сочетает в себе элементы RPG, игровой процесс в песочнице и немного кинематографического исследования и игрового процесса. Игра основана на истории оригинальной Subnautica. Вы снова отправитесь на планету 4546B, но уже в ее неизведанную часть льда. Окунитесь в мир полярных подводных приключений на чужой планете. Спустя некоторое время после выхода оригинальной Subnautica, Below Zero предлагает вам новое испытание. Сможете ли вы пережить катастрофу на исследовательской станции 4546B? Создавайте инструменты, добывайте ресурсы и наслаждайтесь приключениями новой главы в истории Subnautica!",38,LAN (RadminVPN).,Русский текст.,"Экшен, Ролевая, Совместное прохождение.",?.,Информация об одиночной игре не указана
 Colin McRae Rally 2005 играть по сети и интернету Онлайн / LAN,https://freetp.org/po-seti/5152-colin-mcrae-rally-2005-po-seti-i-internetu.html,/uploads/posts/2022-06/thumbs/1654594280_colin_mcrae_rally_2005.jpg,"Colin McRae Rally 2005 — продолжение всемирно известного раллийного автосимулятора, выводящее знаменитую серию на новый уровень — прежде всего благодаря оригинальному режиму карьеры, в котором перед игроком открываются практически безграничные возможности. Способ по которому можно поиграть: Онлайн (OpenSpy) / Lan (Radmin VPN).",0,Lan (Radmin VPN) / Online (OpenSpy),Русский.,"Гонки, Симуляторы.",4/8.,Информация об одиночной игре не указана
 Who's Your Daddy REMAKE играть по сети и интернету Онлайн,https://freetp.org/po-seti/4585-whos-your-daddy-remake-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-12/thumbs/1608973496_whos-your-daddy-remake.jpg,"Who's Your Daddy REMAKE - как можно понять из названия - ремейк популярной игры Who's Your Daddy, полностью переработанная и улучшенная, как заявляют празработчики.",8,Интернет.,Англ. текст.,"Экшены, Казуальные игры, Инди, Ранний доступ.",2,Информация об одиночной игре не указана
 MythForce играть по сети и интернету ОНЛАЙН,https://freetp.org/po-seti/5123-mythforce-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2022-05/thumbs/1652467047_mythforce.jpg,"MythForce — это веселое и быстрое приключение в жанре roguelike с крутой и захватывающей графикой. Примите на себя роль отважного героя и смело отправляйтесь исследовать просторы замка зла, чтобы сразиться с врагами и спасти мир. Это мрачное и мистическое место находится в глубоком подземелье, где вас ждет множество испытаний и безумных битв с врагами, которые сделают все, чтобы вас уничтожить. Отдельно следует отметить наличие одиночного и многопользовательского режимов, где можно отлично повеселиться с друзьями и действовать в команде. С самого начала вы можете сами выбрать главного героя, наделив его особыми способностями, боевыми характеристиками и внешними данными. С точки зрения игровой механики, она выполнена в классическом жанре RPG и дает вам массу вариантов для достижения поставленных целей. Визуальный стиль очень уникален и необычен, в нем яркие краски и крутая графика, что обязательно понравится любителям жанра.",10,Epic Games Account.,Английский.,"Экшены, Ролевые игры, Совместное прохождение.",4.,Доступна.
 Destroy All Humans! – Clone Carnage играть по сети и интернету Онлайн,https://freetp.org/po-seti/5151-destroy-all-humans-clone-carnage-igra-po-seti-onlayn.html,/uploads/posts/2022-06/thumbs/1654155656_destroy-all-humans-clone-carnage.jpg,"Сейте хаос в Clone Carnage! Это расширение включает в себя 4 режима, 6 карт и мультиплеер для 4 игроков. Удвойте свой урон в локальной игре с другом на разделенном экране. Дайте волю своему внутреннему зверю в режимах Rampage, Armageddon, Race и Abduction!",2,Интернет / Локальная Сеть.,Русский текст.,"Приключенческие игры, Экшены, Совместное прохождение.",4.,Нет.
 The Jackbox Party Pack 2 играть по сети и интернету Онлайн,https://freetp.org/po-seti/4887-the-jackbox-party-pack-2-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-08/thumbs/1629612902_tpp-2.jpg,"The Jackbox Party Pack 2 - игра для компаний, помогающая весело провести время на вечеринках, со встроенным русификатором.",45,Способ игры не указан,Русский - 3 режима (и 2 режима на английском)Количество игроков,"Казуальные игры, Инди.Возможность одиночной игры",Русский - 3 режима (и 2 режима на английском)Количество игроков,Информация об одиночной игре не указана
 Unreal Tournament 2004 играть по сети и интернету ЛАН,https://freetp.org/po-seti/462-ut2004-igra-v-piratku-bez-litsenzii-i-klyucha.html,//freetp.org/uploads/posts/2013-05/thumbs/1367568094_ut2004-deathmath.jpg," Настройка многопользовательской игры в ""Нереальный Турнир 2004"" для Интернет игры.",6,Способ игры не указан,Язык в игре не указан,Жанр не указан,Максимальное количество игроков не указано,Информация об одиночной игре не указана
 Sea Of Craft играть по сети и интернету Онлайн,https://freetp.org/po-seti/5117-sea-of-craft-igra-po-seti-onlayn.html,/uploads/posts/2022-04/thumbs/1651305087_sea-of-craft.jpg,Привет! Капитан! Sea Of Craft — это игра о строительстве океана из песка с реалистичной симуляцией физики. В «Sea of​​​Craft» вы сможете построить свой эксклюзивный корабль из сотен материалов и исследовать захватывающие уровни на планете Бэлла и чудесные приключения в великом океане!,6,Интернет.,Русский текст.,"Экшены, Приключенческие игры, Инди, Гонки, Симуляторы,.",2-4-8.,Доступна.
 Fuel играть по сети и интернету Онлайн (Xlive),https://freetp.org/po-seti/5112-fuel-igrat-po-seti-i-internetu-onlayn-xlive.html,/uploads/posts/2022-04/thumbs/1650699441_274px-fuel.jpg,"Что делать, если глобальное потепление превратило климат в подобие неваляшки? Ураганные порывы ветра и ливни сменяются зверской жарой. Тайфуны сметают то, что осталось от некогда процветающих городов. Цивилизация благополучно скончалась. Способ по которому можно поиграть: Интернет (Xlive)",3,Online (Xlive).,Русский.,"Аркада, Гонки, Симуляторы.",16.,Информация об одиночной игре не указана
 Wingspan играть по сети и интернету Онлайн,https://freetp.org/po-seti/4981-wingspan-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-11/thumbs/1637678209_wingspan.jpg,"WINGSPAN (Крылья) - игровой проект, разработанный в жанре стратегии, в котором за основу процесса взята карточная система. Главное преимущество приключения - наличие индивидуального и кооперативного режимов до пяти человек, что позволит игроку весело провести время с друзьями. Вам предстоит необычная роль - роль орнитолога, который сделает все возможное для изучения природы всего мира. Вы получите различную полезную информацию, вы исследуете множество мест, раскроете секреты, понаблюдаете за жизнью представителей мира птиц и откроете для себя как можно больше новых заповедников. В определенной среде обитания определенные виды птиц могут комфортно существовать, что необходимо учитывать при осуществлении профессиональной деятельности. Всегда старайтесь улучшить свои навыки, так как домашнее задание становится все труднее. Приглашайте друзей и участвуйте в интересных мероприятиях, участвуйте в различных конкурсах и получайте задания с лучшими из лучших. Графика хорошо проработана, реалистична и полна ярких цветов, что позволяет полностью погрузиться в общую атмосферу.",3,Steam (по приглашению) ИЛИ Локальная Сеть.,Русский Текст.,"Инди, Стратегии.",5.,Присутствует.
 Golf Gang играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/5140-golf-gang-po-seti-igra-besplatno.html,/uploads/posts/2022-05/thumbs/1653645288_golf-gang.jpg,"Golf Gang — это гонка с друзьями и одновременно самая быстрая игра в мини-гольф! Зарабатывайте онлайн-вечеринки с 8 игроками, устанавливайте рекорды одиночной игры.",4,Steam ИЛИ Локальная Сеть.,Русский текст.,"Экшены, Казуальные игры, Гонки, Спортивные игры.",8.,Доступна.
 STOLEN CITY играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/5139-stolen-city-po-seti-igra-besplatno.html,/uploads/posts/2022-05/thumbs/1653642486_stolen-city.jpg,"Вам предстоит выжить в городе, захваченном грабителями и бандами преступников-убийц - огромный город создан на новом движке Unreal Engine 5, который обеспечивает высокое качество изображения и широкий спектр рисунков без потери производительности. Вы появляетесь в случайной точке на окраине города в образе бездомного - в вашем распоряжении прайм-персонаж, которому нужно выживать и прокачиваться.",1,Интернет ИЛИ Локальная Сеть.,Английский текст.,"Экшены, Приключенческие игры, Многопользовательские игры, Ролевые игры, Симуляторы.",9999.,Доступна.
 Salt and Sacrifice по сети и интернету LAN,https://freetp.org/po-seti/5134-salt-and-sacrifice-po-seti-i-internetu-lan.html,/uploads/posts/2022-05/thumbs/1652895651_featured-salt-and-sacrifice-will-salt-and-sacrifice-come-to-steam-900x506-768x432.jpg,"Salt and Sacrifice – проект, разработанный в жанре метроидвании, где мы погружаемся в фантастический мир и постараемся завершить важную миссию.  Способ по которому можно поиграть: Локальная Сеть (RadminVPN)",37,LAN(RadminVPN).,English + Русификатор.,"Экшен, Ролевая, Совместное прохождение.",2.,Информация об одиночной игре не указана
 BBQ Simulator: The Squad играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/5131-bbq-simulator-the-squad-po-seti-igra-besplatno.html,/uploads/posts/2022-05/thumbs/1653568818_bbq-simulator-the-squad.jpg,"Симулятор барбекю позволяет вам испытать, что такое барбекю, которое часто бывает грязным. Вам нужно накормить своих друзей хорошо приготовленным мясом, прежде чем они проголодаются. Вы можете играть во все режимы с 8 друзьями в многопользовательской или одиночной игре.",2,Интернет ИЛИ Локальная Сеть.,Русский текст.,"Казуальные игры, Инди, Симуляторы, Совместное прохождение.",8.,Доступна.
 Far Cry 2 играть по сети и интернету Онлайн / LAN,https://freetp.org/po-seti/4360-far-cry-2-igrat-po-seti-i-internetu-lan.html,/uploads/posts/2020-08/thumbs/1596275887_header-144.jpg,"Far Cry 2 – вторая серия культовой игры, где ты узнаешь новую историю и пройдешь ряд крутых и довольно опасных испытаний.",16,Онлайн ИЛИ Локальная Сеть (Radmin VPN).,Язык в игре не указан,Жанр не указан,16.,Есть.
 TimeShift Играть по сети и интернету Онлайн,https://freetp.org/po-seti/4095-timeshift-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2020-02/thumbs/1581010822_timeshift.jpg,"TimeShift - Нашумевшая, в своё время, игра с нереально классной графикой, физикой, задумкой и реалистичностью. Играл наслаждаясь каждым моментом и поражаясь красотой!",2,Способ игры не указан,Язык в игре не указан,Жанр не указан,2-8 игроков.,Информация об одиночной игре не указана
 Satisfactory играть по сети и интернету Онлайн,https://freetp.org/po-seti/4202-satisfactory-igra-po-seti-i-internetu-onlayn-v711.html,/uploads/posts/2020-04/thumbs/1586287287_satisfactory.jpg,"Satisfactory - игра с отрытым миром, стройте свою базу, собирайте ресурсы и исследуйте интересный и красочный мир игры!",322,Интернет (Epic Games).,"Русский Текст, Озвучка только на Английском.","Симулятор, Приключенческая игра, Совместное прохождение.",*.,Доступна.
 DiRT: Showdown играть по сети и интернету ЛАН,https://freetp.org/po-seti/5136-dirt-showdown-po-seti-lan.html,/uploads/posts/2022-05/thumbs/1653242461_hqdefault.jpg,"Проносится мимо соперников на форсаже, хулится от души по бескрайним и диким паркам для фристайла, разносит куски препятствий и смотрит на совершенные вами разрушения, самый совершенный игровой движок.Способ по которому можно поиграть: Lan (Radmin VPN)",0,Lan (Radmin VPN),Русский,"Racing,Simulation",8.,Информация об одиночной игре не указана
 Marvel: Ultimate Alliance играть по сети и интернету Онлайн,https://freetp.org/po-seti/5135-marvel-ultimate-alliance-po-seti.html,/uploads/posts/2022-05/thumbs/1653244990_ultimate-alliance.jpg,"Наконец-то сбылись мечты поклонников! В одно время, в одном месте встретились все самые популярные герои комиксов Marvel. Человек-Паук, Росомаха, Люди Икс, Капитан Америка и многие другие стали участниками новых захватывающих приключений. Способ по которому можно поиграть: Online (OpenSpy)",9,Online (OpenSpy).,Русский.,Аркада.,4.,Информация об одиночной игре не указана
 Door Kickers 2: Task Force North играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/4523-door-kickers-2-task-force-north-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2020-11/thumbs/1604604079_header-1.jpg,"Door Kickers 2 Task Force North – великолепное сочетание экшена, симулятора и стратегии, где игроку предстоит отправиться навстречу захватывающим событиям и справиться с немалым количеством преград.  Способ по которому можно поиграть: Steam (по приглашению) / Локальная Сеть.",28,Steam (по приглашению) / Локальная Сеть.,Английский Текст.,"Экшены, Инди, Симуляторы, Стратегии, Совместное прохождение.",4.,Присутствует.
 Crawl играть по сети и интернету ОНЛАЙН,https://freetp.org/po-seti/4417-crawl-v101-po-seti-igrati-besplatno.html,/uploads/posts/2020-08/thumbs/1598777564_header-215.jpg,"Crawl – инди-игра со стильной пиксельной графикой, где тебе предстоит отправиться в увлекательное приключение вместе со своими друзьями, так как в игре присутствует режим кооператива. Способ по которому можно поиграть: Steam (Remote Play).",9,Steam(Remote play).,Язык в игре не указан,"Экшены, Инди, Ролевые игры, Совместное Прохождение, на одном компе.",4.,Есть.
 Call Of Duty Modern Warfare 2 играть по Сети и Интернету (iw4x),https://freetp.org/po-seti/13-codmw2-zapusk-multiplayera-v-online.html,https://freetp.org/uploads/posts/2012-12/1355150223_call-of-duty-modern-warfare-2.jpg,"Удобный способ запуска пиратки Call of Duty Modern Warfare 2 по интернету, без ключа.  Способ Запуска: Интернет.  Тип Клиента: Пиратка.",670,Интернет (iw4x).,Русский Текст и Озвучка.,"Шутеры, От первого лица, Экшены, совместное прохождение.",64.,Доступна.
 Beat Saber играть по сети и интернету Онлайн,https://freetp.org/po-seti/5133-beat-saber-po-seti-scachati.html,/uploads/posts/2022-05/thumbs/1652872084_header.jpg,"Аркадная ритм игра, в которую теперь можно поиграть с друзьями и даже со случайными игроками через браузер серверов, причём по сети можно играть даже кастомные карты. Есть поддержка до 10 игроков в одной комнате. Играть можно и с теми, кто играет на лицензии, а так-же с теми, кто играет на standalone версии игры на quest 2.",6,Steam.,Английский текст.,Инди.,10.,Доступна.
